Indicator,Time period,Time period label,Time period range,Sex,Age,Category Type,Category,Sub-category,Denominator,Value
Average anxiety (GAD-7) score,22/11/2021,22/11/2021,Weekly,Female,All ages,Sex,Female,,,5.1
Average anxiety (GAD-7) score,01/11/2021,01/11/2021,Weekly,Female,All ages,Sex,Female,,,4.5
Average anxiety (GAD-7) score,25/10/2021,25/10/2021,Weekly,Female,All ages,Sex,Female,,,4.3
Average anxiety (GAD-7) score,18/10/2021,18/10/2021,Weekly,Female,All ages,Sex,Female,,,5
Average anxiety (GAD-7) score,11/10/2021,11/10/2021,Weekly,Female,All ages,Sex,Female,,,4.9
Average anxiety (GAD-7) score,04/10/2021,04/10/2021,Weekly,Female,All ages,Sex,Female,,,4.8
Average anxiety (GAD-7) score,27/09/2021,27/09/2021,Weekly,Female,All ages,Sex,Female,,,4.4
Average anxiety (GAD-7) score,20/09/2021,20/09/2021,Weekly,Female,All ages,Sex,Female,,,4.8
Average anxiety (GAD-7) score,13/09/2021,13/09/2021,Weekly,Female,All ages,Sex,Female,,,4.9
Average anxiety (GAD-7) score,06/09/2021,06/09/2021,Weekly,Female,All ages,Sex,Female,,,4.7
Average anxiety (GAD-7) score,30/08/2021,30/08/2021,Weekly,Female,All ages,Sex,Female,,,4.2
Average anxiety (GAD-7) score,23/08/2021,23/08/2021,Weekly,Female,All ages,Sex,Female,,,4.6
Average anxiety (GAD-7) score,16/08/2021,16/08/2021,Weekly,Female,All ages,Sex,Female,,,4.6
Average anxiety (GAD-7) score,09/08/2021,09/08/2021,Weekly,Female,All ages,Sex,Female,,,4.7
Average anxiety (GAD-7) score,02/08/2021,02/08/2021,Weekly,Female,All ages,Sex,Female,,,4.3
Average anxiety (GAD-7) score,26/07/2021,26/07/2021,Weekly,Female,All ages,Sex,Female,,,4.2
Average anxiety (GAD-7) score,19/07/2021,19/07/2021,Weekly,Female,All ages,Sex,Female,,,4.8
Average anxiety (GAD-7) score,12/07/2021,12/07/2021,Weekly,Female,All ages,Sex,Female,,,4.8
Average anxiety (GAD-7) score,05/07/2021,05/07/2021,Weekly,Female,All ages,Sex,Female,,,4.4
Average anxiety (GAD-7) score,28/06/2021,28/06/2021,Weekly,Female,All ages,Sex,Female,,,4.4
Average anxiety (GAD-7) score,21/06/2021,21/06/2021,Weekly,Female,All ages,Sex,Female,,,4.8
Average anxiety (GAD-7) score,14/06/2021,14/06/2021,Weekly,Female,All ages,Sex,Female,,,4.8
Average anxiety (GAD-7) score,07/06/2021,07/06/2021,Weekly,Female,All ages,Sex,Female,,,4.4
Average anxiety (GAD-7) score,31/05/2021,31/05/2021,Weekly,Female,All ages,Sex,Female,,,4.5
Average anxiety (GAD-7) score,24/05/2021,24/05/2021,Weekly,Female,All ages,Sex,Female,,,5.1
Average anxiety (GAD-7) score,17/05/2021,17/05/2021,Weekly,Female,All ages,Sex,Female,,,5.5
Average anxiety (GAD-7) score,10/05/2021,10/05/2021,Weekly,Female,All ages,Sex,Female,,,5
Average anxiety (GAD-7) score,03/05/2021,03/05/2021,Weekly,Female,All ages,Sex,Female,,,4.6
Average anxiety (GAD-7) score,26/04/2021,26/04/2021,Weekly,Female,All ages,Sex,Female,,,5
Average anxiety (GAD-7) score,19/04/2021,19/04/2021,Weekly,Female,All ages,Sex,Female,,,5.2
Average anxiety (GAD-7) score,12/04/2021,12/04/2021,Weekly,Female,All ages,Sex,Female,,,4.8
Average anxiety (GAD-7) score,05/04/2021,05/04/2021,Weekly,Female,All ages,Sex,Female,,,5.1
Average anxiety (GAD-7) score,29/03/2021,29/03/2021,Weekly,Female,All ages,Sex,Female,,,5.2
Average anxiety (GAD-7) score,22/03/2021,22/03/2021,Weekly,Female,All ages,Sex,Female,,,5.8
Average anxiety (GAD-7) score,15/03/2021,15/03/2021,Weekly,Female,All ages,Sex,Female,,,5.5
Average anxiety (GAD-7) score,08/03/2021,08/03/2021,Weekly,Female,All ages,Sex,Female,,,5.2
Average anxiety (GAD-7) score,01/03/2021,01/03/2021,Weekly,Female,All ages,Sex,Female,,,5
Average anxiety (GAD-7) score,22/02/2021,22/02/2021,Weekly,Female,All ages,Sex,Female,,,5.8
Average anxiety (GAD-7) score,15/02/2021,15/02/2021,Weekly,Female,All ages,Sex,Female,,,5
Average anxiety (GAD-7) score,08/02/2021,08/02/2021,Weekly,Female,All ages,Sex,Female,,,4.7
Average anxiety (GAD-7) score,01/02/2021,01/02/2021,Weekly,Female,All ages,Sex,Female,,,5.2
Average anxiety (GAD-7) score,25/01/2021,25/01/2021,Weekly,Female,All ages,Sex,Female,,,5.6
Average anxiety (GAD-7) score,18/01/2021,18/01/2021,Weekly,Female,All ages,Sex,Female,,,5.2
Average anxiety (GAD-7) score,11/01/2021,11/01/2021,Weekly,Female,All ages,Sex,Female,,,5.1
Average anxiety (GAD-7) score,04/01/2021,04/01/2021,Weekly,Female,All ages,Sex,Female,,,5.5
Average anxiety (GAD-7) score,28/12/2020,28/12/2020,Weekly,Female,All ages,Sex,Female,,,5.3
Average anxiety (GAD-7) score,21/12/2020,21/12/2020,Weekly,Female,All ages,Sex,Female,,,5.4
Average anxiety (GAD-7) score,14/12/2020,14/12/2020,Weekly,Female,All ages,Sex,Female,,,4.8
Average anxiety (GAD-7) score,07/12/2020,07/12/2020,Weekly,Female,All ages,Sex,Female,,,5.2
Average anxiety (GAD-7) score,30/11/2020,30/11/2020,Weekly,Female,All ages,Sex,Female,,,5.3
Average anxiety (GAD-7) score,23/11/2020,23/11/2020,Weekly,Female,All ages,Sex,Female,,,5.2
Average anxiety (GAD-7) score,16/11/2020,16/11/2020,Weekly,Female,All ages,Sex,Female,,,5.2
Average anxiety (GAD-7) score,09/11/2020,09/11/2020,Weekly,Female,All ages,Sex,Female,,,5.2
Average anxiety (GAD-7) score,02/11/2020,02/11/2020,Weekly,Female,All ages,Sex,Female,,,5.4
Average anxiety (GAD-7) score,26/10/2020,26/10/2020,Weekly,Female,All ages,Sex,Female,,,5.2
Average anxiety (GAD-7) score,19/10/2020,19/10/2020,Weekly,Female,All ages,Sex,Female,,,5.2
Average anxiety (GAD-7) score,12/10/2020,12/10/2020,Weekly,Female,All ages,Sex,Female,,,5.4
Average anxiety (GAD-7) score,05/10/2020,05/10/2020,Weekly,Female,All ages,Sex,Female,,,5.4
Average anxiety (GAD-7) score,28/09/2020,28/09/2020,Weekly,Female,All ages,Sex,Female,,,4.9
Average anxiety (GAD-7) score,21/09/2020,21/09/2020,Weekly,Female,All ages,Sex,Female,,,4.8
Average anxiety (GAD-7) score,14/09/2020,14/09/2020,Weekly,Female,All ages,Sex,Female,,,5.1
Average anxiety (GAD-7) score,07/09/2020,07/09/2020,Weekly,Female,All ages,Sex,Female,,,4.9
Average anxiety (GAD-7) score,31/08/2020,31/08/2020,Weekly,Female,All ages,Sex,Female,,,5
Average anxiety (GAD-7) score,24/08/2020,24/08/2020,Weekly,Female,All ages,Sex,Female,,,5
Average anxiety (GAD-7) score,17/08/2020,17/08/2020,Weekly,Female,All ages,Sex,Female,,,4.5
Average anxiety (GAD-7) score,10/08/2020,10/08/2020,Weekly,Female,All ages,Sex,Female,,,4.3
Average anxiety (GAD-7) score,03/08/2020,03/08/2020,Weekly,Female,All ages,Sex,Female,,,4.5
Average anxiety (GAD-7) score,27/07/2020,27/07/2020,Weekly,Female,All ages,Sex,Female,,,4.4
Average anxiety (GAD-7) score,20/07/2020,20/07/2020,Weekly,Female,All ages,Sex,Female,,,4.4
Average anxiety (GAD-7) score,13/07/2020,13/07/2020,Weekly,Female,All ages,Sex,Female,,,4.6
Average anxiety (GAD-7) score,06/07/2020,06/07/2020,Weekly,Female,All ages,Sex,Female,,,4.7
Average anxiety (GAD-7) score,29/06/2020,29/06/2020,Weekly,Female,All ages,Sex,Female,,,4.8
Average anxiety (GAD-7) score,22/06/2020,22/06/2020,Weekly,Female,All ages,Sex,Female,,,4.8
Average anxiety (GAD-7) score,15/06/2020,15/06/2020,Weekly,Female,All ages,Sex,Female,,,5
Average anxiety (GAD-7) score,08/06/2020,08/06/2020,Weekly,Female,All ages,Sex,Female,,,5.2
Average anxiety (GAD-7) score,01/06/2020,01/06/2020,Weekly,Female,All ages,Sex,Female,,,5.1
Average anxiety (GAD-7) score,25/05/2020,25/05/2020,Weekly,Female,All ages,Sex,Female,,,5.2
Average anxiety (GAD-7) score,18/05/2020,18/05/2020,Weekly,Female,All ages,Sex,Female,,,5.4
Average anxiety (GAD-7) score,11/05/2020,11/05/2020,Weekly,Female,All ages,Sex,Female,,,5.5
Average anxiety (GAD-7) score,04/05/2020,04/05/2020,Weekly,Female,All ages,Sex,Female,,,5.7
Average anxiety (GAD-7) score,27/04/2020,27/04/2020,Weekly,Female,All ages,Sex,Female,,,5.9
Average anxiety (GAD-7) score,20/04/2020,20/04/2020,Weekly,Female,All ages,Sex,Female,,,5.9
Average anxiety (GAD-7) score,13/04/2020,13/04/2020,Weekly,Female,All ages,Sex,Female,,,6.1
Average anxiety (GAD-7) score,06/04/2020,06/04/2020,Weekly,Female,All ages,Sex,Female,,,6.4
Average anxiety (GAD-7) score,30/03/2020,30/03/2020,Weekly,Female,All ages,Sex,Female,,,6.6
Average anxiety (GAD-7) score,23/03/2020,23/03/2020,Weekly,Female,All ages,Sex,Female,,,7.2
Average anxiety (GAD-7) score,22/11/2021,22/11/2021,Weekly,Male,All ages,Sex,Male,,,3.5
Average anxiety (GAD-7) score,01/11/2021,01/11/2021,Weekly,Male,All ages,Sex,Male,,,3.4
Average anxiety (GAD-7) score,25/10/2021,25/10/2021,Weekly,Male,All ages,Sex,Male,,,3.6
Average anxiety (GAD-7) score,18/10/2021,18/10/2021,Weekly,Male,All ages,Sex,Male,,,3.1
Average anxiety (GAD-7) score,11/10/2021,11/10/2021,Weekly,Male,All ages,Sex,Male,,,3.5
Average anxiety (GAD-7) score,04/10/2021,04/10/2021,Weekly,Male,All ages,Sex,Male,,,3.3
Average anxiety (GAD-7) score,27/09/2021,27/09/2021,Weekly,Male,All ages,Sex,Male,,,3.9
Average anxiety (GAD-7) score,20/09/2021,20/09/2021,Weekly,Male,All ages,Sex,Male,,,2.9
Average anxiety (GAD-7) score,13/09/2021,13/09/2021,Weekly,Male,All ages,Sex,Male,,,3.4
Average anxiety (GAD-7) score,06/09/2021,06/09/2021,Weekly,Male,All ages,Sex,Male,,,3.3
Average anxiety (GAD-7) score,30/08/2021,30/08/2021,Weekly,Male,All ages,Sex,Male,,,3.6
Average anxiety (GAD-7) score,23/08/2021,23/08/2021,Weekly,Male,All ages,Sex,Male,,,2.7
Average anxiety (GAD-7) score,16/08/2021,16/08/2021,Weekly,Male,All ages,Sex,Male,,,3.4
Average anxiety (GAD-7) score,09/08/2021,09/08/2021,Weekly,Male,All ages,Sex,Male,,,3.6
Average anxiety (GAD-7) score,02/08/2021,02/08/2021,Weekly,Male,All ages,Sex,Male,,,3.4
Average anxiety (GAD-7) score,26/07/2021,26/07/2021,Weekly,Male,All ages,Sex,Male,,,2.8
Average anxiety (GAD-7) score,19/07/2021,19/07/2021,Weekly,Male,All ages,Sex,Male,,,3.3
Average anxiety (GAD-7) score,12/07/2021,12/07/2021,Weekly,Male,All ages,Sex,Male,,,3.9
Average anxiety (GAD-7) score,05/07/2021,05/07/2021,Weekly,Male,All ages,Sex,Male,,,3.5
Average anxiety (GAD-7) score,28/06/2021,28/06/2021,Weekly,Male,All ages,Sex,Male,,,3.5
Average anxiety (GAD-7) score,21/06/2021,21/06/2021,Weekly,Male,All ages,Sex,Male,,,3.5
Average anxiety (GAD-7) score,14/06/2021,14/06/2021,Weekly,Male,All ages,Sex,Male,,,3.5
Average anxiety (GAD-7) score,07/06/2021,07/06/2021,Weekly,Male,All ages,Sex,Male,,,3.4
Average anxiety (GAD-7) score,31/05/2021,31/05/2021,Weekly,Male,All ages,Sex,Male,,,3.7
Average anxiety (GAD-7) score,24/05/2021,24/05/2021,Weekly,Male,All ages,Sex,Male,,,3.6
Average anxiety (GAD-7) score,17/05/2021,17/05/2021,Weekly,Male,All ages,Sex,Male,,,3.9
Average anxiety (GAD-7) score,10/05/2021,10/05/2021,Weekly,Male,All ages,Sex,Male,,,3.6
Average anxiety (GAD-7) score,03/05/2021,03/05/2021,Weekly,Male,All ages,Sex,Male,,,3.6
Average anxiety (GAD-7) score,26/04/2021,26/04/2021,Weekly,Male,All ages,Sex,Male,,,3.9
Average anxiety (GAD-7) score,19/04/2021,19/04/2021,Weekly,Male,All ages,Sex,Male,,,3.6
Average anxiety (GAD-7) score,12/04/2021,12/04/2021,Weekly,Male,All ages,Sex,Male,,,3.7
Average anxiety (GAD-7) score,05/04/2021,05/04/2021,Weekly,Male,All ages,Sex,Male,,,3.7
Average anxiety (GAD-7) score,29/03/2021,29/03/2021,Weekly,Male,All ages,Sex,Male,,,4
Average anxiety (GAD-7) score,22/03/2021,22/03/2021,Weekly,Male,All ages,Sex,Male,,,4
Average anxiety (GAD-7) score,15/03/2021,15/03/2021,Weekly,Male,All ages,Sex,Male,,,3.8
Average anxiety (GAD-7) score,08/03/2021,08/03/2021,Weekly,Male,All ages,Sex,Male,,,4
Average anxiety (GAD-7) score,01/03/2021,01/03/2021,Weekly,Male,All ages,Sex,Male,,,3.4
Average anxiety (GAD-7) score,22/02/2021,22/02/2021,Weekly,Male,All ages,Sex,Male,,,3.6
Average anxiety (GAD-7) score,15/02/2021,15/02/2021,Weekly,Male,All ages,Sex,Male,,,3.4
Average anxiety (GAD-7) score,08/02/2021,08/02/2021,Weekly,Male,All ages,Sex,Male,,,3.7
Average anxiety (GAD-7) score,01/02/2021,01/02/2021,Weekly,Male,All ages,Sex,Male,,,3.7
Average anxiety (GAD-7) score,25/01/2021,25/01/2021,Weekly,Male,All ages,Sex,Male,,,3.3
Average anxiety (GAD-7) score,18/01/2021,18/01/2021,Weekly,Male,All ages,Sex,Male,,,4.2
Average anxiety (GAD-7) score,11/01/2021,11/01/2021,Weekly,Male,All ages,Sex,Male,,,3.8
Average anxiety (GAD-7) score,04/01/2021,04/01/2021,Weekly,Male,All ages,Sex,Male,,,3.8
Average anxiety (GAD-7) score,28/12/2020,28/12/2020,Weekly,Male,All ages,Sex,Male,,,3.4
Average anxiety (GAD-7) score,21/12/2020,21/12/2020,Weekly,Male,All ages,Sex,Male,,,4.1
Average anxiety (GAD-7) score,14/12/2020,14/12/2020,Weekly,Male,All ages,Sex,Male,,,3.4
Average anxiety (GAD-7) score,07/12/2020,07/12/2020,Weekly,Male,All ages,Sex,Male,,,3.6
Average anxiety (GAD-7) score,30/11/2020,30/11/2020,Weekly,Male,All ages,Sex,Male,,,3.9
Average anxiety (GAD-7) score,23/11/2020,23/11/2020,Weekly,Male,All ages,Sex,Male,,,4.1
Average anxiety (GAD-7) score,16/11/2020,16/11/2020,Weekly,Male,All ages,Sex,Male,,,3.5
Average anxiety (GAD-7) score,09/11/2020,09/11/2020,Weekly,Male,All ages,Sex,Male,,,3.5
Average anxiety (GAD-7) score,02/11/2020,02/11/2020,Weekly,Male,All ages,Sex,Male,,,3.9
Average anxiety (GAD-7) score,26/10/2020,26/10/2020,Weekly,Male,All ages,Sex,Male,,,3.7
Average anxiety (GAD-7) score,19/10/2020,19/10/2020,Weekly,Male,All ages,Sex,Male,,,3.6
Average anxiety (GAD-7) score,12/10/2020,12/10/2020,Weekly,Male,All ages,Sex,Male,,,3.5
Average anxiety (GAD-7) score,05/10/2020,05/10/2020,Weekly,Male,All ages,Sex,Male,,,3.8
Average anxiety (GAD-7) score,28/09/2020,28/09/2020,Weekly,Male,All ages,Sex,Male,,,3.6
Average anxiety (GAD-7) score,21/09/2020,21/09/2020,Weekly,Male,All ages,Sex,Male,,,3.2
Average anxiety (GAD-7) score,14/09/2020,14/09/2020,Weekly,Male,All ages,Sex,Male,,,3.4
Average anxiety (GAD-7) score,07/09/2020,07/09/2020,Weekly,Male,All ages,Sex,Male,,,3.6
Average anxiety (GAD-7) score,31/08/2020,31/08/2020,Weekly,Male,All ages,Sex,Male,,,3.9
Average anxiety (GAD-7) score,24/08/2020,24/08/2020,Weekly,Male,All ages,Sex,Male,,,3.2
Average anxiety (GAD-7) score,17/08/2020,17/08/2020,Weekly,Male,All ages,Sex,Male,,,3.2
Average anxiety (GAD-7) score,10/08/2020,10/08/2020,Weekly,Male,All ages,Sex,Male,,,3.1
Average anxiety (GAD-7) score,03/08/2020,03/08/2020,Weekly,Male,All ages,Sex,Male,,,3.2
Average anxiety (GAD-7) score,27/07/2020,27/07/2020,Weekly,Male,All ages,Sex,Male,,,3.1
Average anxiety (GAD-7) score,20/07/2020,20/07/2020,Weekly,Male,All ages,Sex,Male,,,3.2
Average anxiety (GAD-7) score,13/07/2020,13/07/2020,Weekly,Male,All ages,Sex,Male,,,3.3
Average anxiety (GAD-7) score,06/07/2020,06/07/2020,Weekly,Male,All ages,Sex,Male,,,3.4
Average anxiety (GAD-7) score,29/06/2020,29/06/2020,Weekly,Male,All ages,Sex,Male,,,3.4
Average anxiety (GAD-7) score,22/06/2020,22/06/2020,Weekly,Male,All ages,Sex,Male,,,3.5
Average anxiety (GAD-7) score,15/06/2020,15/06/2020,Weekly,Male,All ages,Sex,Male,,,3.6
Average anxiety (GAD-7) score,08/06/2020,08/06/2020,Weekly,Male,All ages,Sex,Male,,,3.8
Average anxiety (GAD-7) score,01/06/2020,01/06/2020,Weekly,Male,All ages,Sex,Male,,,3.7
Average anxiety (GAD-7) score,25/05/2020,25/05/2020,Weekly,Male,All ages,Sex,Male,,,3.6
Average anxiety (GAD-7) score,18/05/2020,18/05/2020,Weekly,Male,All ages,Sex,Male,,,3.9
Average anxiety (GAD-7) score,11/05/2020,11/05/2020,Weekly,Male,All ages,Sex,Male,,,3.9
Average anxiety (GAD-7) score,04/05/2020,04/05/2020,Weekly,Male,All ages,Sex,Male,,,3.9
Average anxiety (GAD-7) score,27/04/2020,27/04/2020,Weekly,Male,All ages,Sex,Male,,,4.1
Average anxiety (GAD-7) score,20/04/2020,20/04/2020,Weekly,Male,All ages,Sex,Male,,,4.1
Average anxiety (GAD-7) score,13/04/2020,13/04/2020,Weekly,Male,All ages,Sex,Male,,,4.2
Average anxiety (GAD-7) score,06/04/2020,06/04/2020,Weekly,Male,All ages,Sex,Male,,,4.4
Average anxiety (GAD-7) score,30/03/2020,30/03/2020,Weekly,Male,All ages,Sex,Male,,,4.4
Average anxiety (GAD-7) score,23/03/2020,23/03/2020,Weekly,Male,All ages,Sex,Male,,,4.7
